Date,Close/Last,Volume,Open,High,Low
2022-01-03,4796.56,--,4778.14,4796.64,4758.17
2022-01-04,4793.54,--,4804.51,4818.62,4774.27
2022-01-05,4700.58,--,4787.99,4797.7,4699.44
2022-01-06,4696.05,--,4693.39,4725.01,4671.26
2022-01-07,4677.03,--,4697.66,4707.95,4662.74
2022-01-10,4670.29,--,4655.34,4673.02,4582.24
2022-01-11,4713.07,--,4669.14,4714.13,4638.27
2022-01-12,4726.35,--,4728.59,4748.83,4706.71
2022-01-13,4659.03,--,4733.56,4744.13,4650.29
2022-01-14,4662.85,--,4637.99,4665.13,4614.75
2022-01-18,4577.11,--,4632.24,4632.24,4568.7
2022-01-19,4532.76,--,4588.03,4611.55,4530.2
2022-01-20,4482.73,--,4547.35,4602.11,4477.95
2022-01-21,4397.94,--,4471.38,4494.52,4395.34
2022-01-24,4410.13,--,4356.32,4417.35,4222.62
2022-01-25,4356.45,--,4366.64,4411.01,4287.11
2022-01-26,4349.93,--,4408.43,4453.23,4304.8
2022-01-27,4326.51,--,4380.58,4428.74,4309.5
2022-01-28,4431.85,--,4336.19,4432.72,4292.46
2022-01-31,4515.55,--,4431.79,4516.89,4414.02
2022-02-01,4546.54,--,4519.57,4550.49,4483.53
2022-02-02,4589.38,--,4566.39,4595.31,4544.32
2022-02-03,4477.44,--,4535.41,4542.88,4470.39
2022-02-04,4500.53,--,4482.79,4539.66,4451.5
2022-02-07,4483.87,--,4505.75,4521.86,4471.47
2022-02-08,4521.54,--,4480.02,4531.32,4465.4
2022-02-09,4587.18,--,4547.0,4590.03,4547.0
2022-02-10,4504.08,--,4553.24,4588.92,4484.31
2022-02-11,4418.64,--,4506.27,4526.33,4401.41
2022-02-14,4401.67,--,4412.61,4426.22,4364.84
2022-02-15,4471.07,--,4429.28,4472.77,4429.28
2022-02-16,4475.01,--,4455.75,4489.55,4429.68
2022-02-17,4380.26,--,4456.06,4456.06,4373.81
2022-02-18,4348.87,--,4384.57,4394.6,4327.22
2022-02-22,4304.76,--,4332.74,4362.12,4267.11
2022-02-23,4225.5,--,4324.93,4341.51,4221.51
2022-02-24,4288.7,--,4155.77,4294.73,4114.65
2022-02-25,4384.65,--,4298.38,4385.34,4286.83
2022-02-28,4373.94,--,4354.17,4388.84,4315.12
2022-03-01,4306.26,--,4363.14,4378.45,4279.54
2022-03-02,4386.54,--,4322.56,4401.48,4322.56
2022-03-03,4363.49,--,4401.31,4416.78,4345.56
