date,open,high,low,close,Volume XRP,Volume USDT,tradecount
2022-01-01,0.8298,0.8557,0.8297,0.8507,136976730.0,115507460.3752,178238
2022-01-02,0.8508,0.8667,0.8372,0.8586,129688032.0,110265575.8458,176940
2022-01-03,0.8586,0.8587,0.8213,0.8324,178618617.0,149876148.1059,232484
2022-01-04,0.8324,0.8456,0.7794,0.8228,214415744.0,177691936.9922,270966
2022-01-05,0.8227,0.8372,0.7092,0.7726,370612510.0,294783762.2987,482373
2022-01-06,0.7725,0.7909,0.7377,0.7791,307202277.0,234402002.0906,415169
2022-01-07,0.779,0.7808,0.7287,0.7634,372926762.0,281919749.2178,511973
2022-01-08,0.7634,0.7768,0.7222,0.7452,253028571.0,190213053.8015,347309
2022-01-09,0.7452,0.7667,0.7381,0.753,151521399.0,113888420.5369,211515
2022-01-10,0.753,0.7589,0.6967,0.7399,313080154.0,228730493.4738,359880
2022-01-11,0.7399,0.7768,0.7306,0.7703,254065075.0,190447525.4492,285391
2022-01-12,0.7702,0.816,0.757,0.7987,295701910.0,231115520.7739,330205
2022-01-13,0.7986,0.8024,0.7604,0.768,227833834.0,178544935.2266,247605
2022-01-14,0.7677,0.8,0.7513,0.7732,221104212.0,170797410.1373,242416
2022-01-15,0.7733,0.79,0.768,0.7791,138443019.0,107785186.2676,159163
2022-01-16,0.7791,0.7884,0.768,0.7784,125068081.0,97287674.5834,157210
2022-01-17,0.7785,0.7805,0.7498,0.7617,181653025.0,138537212.0576,205250
2022-01-18,0.7616,0.7686,0.7352,0.7509,188367099.0,141172279.38,209700
2022-01-19,0.751,0.7533,0.7231,0.7381,190555142.0,140704196.393,214504
2022-01-20,0.7381,0.7622,0.7161,0.7199,205931050.0,153121537.0821,218718
2022-01-21,0.7199,0.7285,0.6112,0.6368,612944841.0,410698993.8904,579921
2022-01-22,0.6368,0.6542,0.5489,0.5966,769947907.12,460971551.623324,714427
2022-01-23,0.5966,0.6352,0.59,0.6283,331234207.0,202062551.6478,347609
2022-01-24,0.6284,0.6286,0.5524,0.6118,513343471.0,300019737.6239,520142
2022-01-25,0.6118,0.6243,0.5872,0.618,319618429.0,192980719.1092,298398
2022-01-26,0.6178,0.6586,0.6047,0.6193,466864710.0,293046543.4372,425965
2022-01-27,0.6193,0.6247,0.5893,0.6088,292543906.0,176630359.0127,264351
2022-01-28,0.6089,0.614,0.5916,0.6111,221009653.0,133208703.7599,215447
2022-01-29,0.6112,0.6255,0.6083,0.6174,154572094.0,95192596.384,157630
2022-01-30,0.6175,0.6232,0.5973,0.6013,146491081.0,89634415.7316,155232
2022-01-31,0.6012,0.6242,0.5803,0.6174,213749309.0,127444698.1901,202749
2022-02-01,0.6174,0.6308,0.6107,0.6284,174300620.0,108325641.3791,179180
2022-02-02,0.6284,0.6314,0.5955,0.6006,186608762.0,114856317.4968,195159
2022-02-03,0.6006,0.6116,0.5886,0.6102,168129675.0,100903909.1622,166019
2022-02-04,0.6101,0.6589,0.6044,0.6555,263927174.0,164697317.0547,234991
2022-02-05,0.6557,0.6869,0.65,0.6656,310296779.0,207432932.9309,296990
2022-02-06,0.6656,0.688,0.6589,0.6825,157303166.0,105499040.7399,163540
2022-02-07,0.6825,0.839,0.6712,0.8314,640917209.0,491875684.7933,773279
2022-02-08,0.8314,0.9142,0.8034,0.8763,1048879447.0,896908628.4032,1336231
2022-02-09,0.8763,0.9168,0.8413,0.8697,626331950.0,549165655.7157,803724
2022-02-10,0.8699,0.8975,0.821,0.8253,495010890.0,427414739.417,540824
2022-02-11,0.8253,0.8339,0.75,0.7591,482432190.0,388566707.0626,519699
2022-02-12,0.759,0.8532,0.7465,0.8223,477906804.0,383669503.4621,526512
2022-02-13,0.8223,0.8476,0.792,0.8057,351589704.0,288439676.8539,411195
2022-02-14,0.8057,0.8127,0.7791,0.8012,304006647.0,241701354.4564,298362
2022-02-15,0.8012,0.8599,0.7961,0.8515,279317316.0,231323680.2361,292838
2022-02-16,0.8514,0.8532,0.8086,0.8366,252745706.0,210175363.6046,272890
2022-02-17,0.8367,0.8448,0.7535,0.769,375190546.0,300624314.1474,377795
2022-02-18,0.7689,0.8055,0.756,0.784,417945743.0,326120877.6789,423084
2022-02-19,0.7841,0.8547,0.7696,0.8215,492929500.0,400613754.2186,594162
2022-02-20,0.8215,0.8234,0.7643,0.7769,495454770.0,391269443.4318,521656
2022-02-21,0.7769,0.802,0.6953,0.7018,621650777.0,474629850.5165,558755
2022-02-22,0.7018,0.7266,0.6686,0.7209,597541290.0,417027236.6289,503146
2022-02-23,0.7209,0.7441,0.6924,0.6967,438023003.0,315158238.6433,352974
2022-02-24,0.6967,0.7226,0.6215,0.6963,986343826.0,649336702.1989,776546
2022-02-25,0.6962,0.7807,0.6826,0.7699,557343038.0,397739663.4322,483216
2022-02-26,0.7698,0.7955,0.7403,0.7508,520451349.0,398290215.7972,518766
2022-02-27,0.7508,0.7677,0.7032,0.7215,441252224.0,324122751.3269,380063
2022-02-28,0.7216,0.7938,0.7075,0.7809,444617964.0,331004684.9104,411864
2022-03-01,0.7809,0.789,0.78,0.7802,12366841.0,9708564.2323,11106
