Date,Close/Last,Volume,Open,High,Low
03/03/2022,4363.49,--,4401.31,4416.78,4345.56
03/02/2022,4386.54,--,4322.56,4401.48,4322.56
03/01/2022,4306.26,--,4363.14,4378.45,4279.54
02/28/2022,4373.94,--,4354.17,4388.84,4315.12
02/25/2022,4384.65,--,4298.38,4385.34,4286.83
02/24/2022,4288.7,--,4155.77,4294.73,4114.65
02/23/2022,4225.5,--,4324.93,4341.51,4221.51
02/22/2022,4304.76,--,4332.74,4362.12,4267.11
02/18/2022,4348.87,--,4384.57,4394.6,4327.22
02/17/2022,4380.26,--,4456.06,4456.06,4373.81
02/16/2022,4475.01,--,4455.75,4489.55,4429.68
02/15/2022,4471.07,--,4429.28,4472.77,4429.28
02/14/2022,4401.67,--,4412.61,4426.22,4364.84
02/11/2022,4418.64,--,4506.27,4526.33,4401.41
02/10/2022,4504.08,--,4553.24,4588.92,4484.31
02/09/2022,4587.18,--,4547,4590.03,4547
02/08/2022,4521.54,--,4480.02,4531.32,4465.4
02/07/2022,4483.87,--,4505.75,4521.86,4471.47
02/04/2022,4500.53,--,4482.79,4539.66,4451.5
02/03/2022,4477.44,--,4535.41,4542.88,4470.39
02/02/2022,4589.38,--,4566.39,4595.31,4544.32
02/01/2022,4546.54,--,4519.57,4550.49,4483.53
01/31/2022,4515.55,--,4431.79,4516.89,4414.02
01/28/2022,4431.85,--,4336.19,4432.72,4292.46
01/27/2022,4326.51,--,4380.58,4428.74,4309.5
01/26/2022,4349.93,--,4408.43,4453.23,4304.8
01/25/2022,4356.45,--,4366.64,4411.01,4287.11
01/24/2022,4410.13,--,4356.32,4417.35,4222.62
01/21/2022,4397.94,--,4471.38,4494.52,4395.34
01/20/2022,4482.73,--,4547.35,4602.11,4477.95
01/19/2022,4532.76,--,4588.03,4611.55,4530.2
01/18/2022,4577.11,--,4632.24,4632.24,4568.7
01/14/2022,4662.85,--,4637.99,4665.13,4614.75
01/13/2022,4659.03,--,4733.56,4744.13,4650.29
01/12/2022,4726.35,--,4728.59,4748.83,4706.71
01/11/2022,4713.07,--,4669.14,4714.13,4638.27
01/10/2022,4670.29,--,4655.34,4673.02,4582.24
01/07/2022,4677.03,--,4697.66,4707.95,4662.74
01/06/2022,4696.05,--,4693.39,4725.01,4671.26
01/05/2022,4700.58,--,4787.99,4797.7,4699.44
01/04/2022,4793.54,--,4804.51,4818.62,4774.27
01/03/2022,4796.56,--,4778.14,4796.64,4758.17
12/31/2021,4766.18,--,4775.21,4786.83,4765.75
12/30/2021,4778.73,--,4794.23,4808.93,4775.33
12/29/2021,4793.06,--,4788.64,4804.06,4778.08
12/28/2021,4786.35,--,4795.49,4807.02,4780.04
12/27/2021,4791.19,--,4733.99,4791.49,4733.99
12/23/2021,4725.79,--,4703.96,4740.74,4703.96
12/22/2021,4696.56,--,4650.36,4697.67,4645.53
12/21/2021,4649.23,--,4594.96,4651.14,4583.16
12/20/2021,4568.02,--,4587.9,4587.9,4531.1
12/17/2021,4620.64,--,4652.5,4666.7,4600.22
12/16/2021,4668.67,--,4719.13,4731.99,4651.89
12/15/2021,4709.85,--,4636.46,4712.6,4611.22
12/14/2021,4634.09,--,4642.99,4660.47,4606.52
12/13/2021,4668.97,--,4710.3,4710.3,4667.6
12/10/2021,4712.02,--,4687.64,4713.57,4670.24
12/09/2021,4667.45,--,4691,4695.26,4665.98
12/08/2021,4701.21,--,4690.86,4705.06,4674.52
12/07/2021,4686.75,--,4631.97,4694.04,4631.97
12/06/2021,4591.67,--,4548.37,4612.6,4540.51
12/03/2021,4538.43,--,4589.49,4608.03,4495.12
12/02/2021,4577.1,--,4504.73,4595.46,4504.73
12/01/2021,4513.04,--,4602.82,4652.94,4510.27
11/30/2021,4567,--,4640.25,4646.02,4560
11/29/2021,4655.27,--,4628.75,4672.95,4625.26
11/26/2021,4594.62,--,4664.63,4664.63,4585.43
11/24/2021,4701.46,--,4675.78,4702.87,4659.89
11/23/2021,4690.7,--,4678.48,4699.39,4652.66
11/22/2021,4682.94,--,4712,4743.83,4682.17
11/19/2021,4697.96,--,4708.44,4717.75,4694.22
11/18/2021,4704.54,--,4700.72,4708.8,4672.78
11/17/2021,4688.67,--,4701.5,4701.5,4684.41
11/16/2021,4700.9,--,4679.42,4714.95,4679.42
11/15/2021,4682.8,--,4689.3,4697.42,4672.86
11/12/2021,4682.85,--,4655.24,4688.47,4650.77
11/11/2021,4649.27,--,4659.39,4664.55,4648.31
11/10/2021,4646.71,--,4670.26,4684.85,4630.86
11/09/2021,4685.25,--,4707.25,4708.53,4670.87
11/08/2021,4701.7,--,4701.48,4714.92,4694.39
11/05/2021,4697.53,--,4699.26,4718.5,4681.32
11/04/2021,4680.06,--,4662.93,4683,4662.59
11/03/2021,4660.57,--,4630.65,4663.46,4621.19
11/02/2021,4630.65,--,4613.34,4635.15,4613.34
11/01/2021,4613.67,--,4610.62,4620.34,4595.06
10/29/2021,4605.38,--,4572.87,4608.08,4567.59
10/28/2021,4596.42,--,4562.84,4597.55,4562.84
