date,open,high,low,close,Volume XRP,Volume USDT,tradecount
2022-01-01 00:00:00,0.8298,0.84,0.8297,0.8395,6156400.0,5142493.2557,7585
2022-01-01 01:00:00,0.8396,0.8528,0.832,0.8396,15912826.0,13414774.0188,20973
2022-01-01 02:00:00,0.8396,0.8445,0.8392,0.8425,4478888.0,3770656.5484,5777
2022-01-01 03:00:00,0.8426,0.8457,0.8404,0.841,5230777.0,4408398.6903,5283
2022-01-01 04:00:00,0.841,0.843,0.8346,0.8346,5368735.0,4499241.9555,6038
2022-01-01 05:00:00,0.8346,0.8465,0.8345,0.8421,6166754.0,5190304.0182,8127
2022-01-01 06:00:00,0.842,0.8453,0.8365,0.8377,9778977.0,8217072.171,8371
2022-01-01 07:00:00,0.8377,0.8429,0.8363,0.8412,4446582.0,3732678.0867,5967
2022-01-01 08:00:00,0.8412,0.8424,0.8382,0.8394,4281422.0,3598697.2362,5983
2022-01-01 09:00:00,0.8395,0.8443,0.8376,0.8425,4499679.0,3782866.4222,6244
2022-01-01 10:00:00,0.8425,0.8444,0.8348,0.8385,5810723.0,4877324.4027,7778
2022-01-01 11:00:00,0.8386,0.842,0.8384,0.8388,4621141.0,3882621.3102,6194
2022-01-01 12:00:00,0.8387,0.8444,0.8386,0.8425,4126776.0,3475348.3707,5662
2022-01-01 13:00:00,0.8426,0.8455,0.8402,0.8409,5324290.0,4484799.0437,6425
2022-01-01 14:00:00,0.841,0.8434,0.8397,0.8399,3499052.0,2943626.3559,6094
2022-01-01 15:00:00,0.8398,0.8452,0.839,0.8425,5307925.0,4471605.9758,6933
2022-01-01 16:00:00,0.8424,0.8476,0.8423,0.8448,5071350.0,4288370.0169,7753
2022-01-01 17:00:00,0.8448,0.8529,0.8443,0.8511,5936939.0,5040866.1872,11025
2022-01-01 18:00:00,0.8511,0.8524,0.8488,0.8516,5531104.0,4704193.846,8030
2022-01-01 19:00:00,0.8516,0.8557,0.8496,0.8521,5200752.0,4431473.6776,7600
2022-01-01 20:00:00,0.8522,0.854,0.8456,0.8457,5034579.0,4282282.4937,6146
2022-01-01 21:00:00,0.8458,0.8509,0.8447,0.846,6368265.0,5395566.058,7191
2022-01-01 22:00:00,0.8459,0.8486,0.8444,0.8474,4154094.0,3516850.7298,4961
2022-01-01 23:00:00,0.8474,0.8507,0.8451,0.8507,4668700.0,3955349.504,6098
2022-01-02 00:00:00,0.8508,0.8511,0.8407,0.846,8104814.0,6856127.6407,12474
2022-01-02 01:00:00,0.8461,0.8463,0.8407,0.8424,4378657.0,3691210.4578,5766
2022-01-02 02:00:00,0.8424,0.844,0.841,0.8436,2695871.0,2271921.5394,4198
2022-01-02 03:00:00,0.8435,0.8454,0.8419,0.8438,3407266.0,2874328.0749,4528
2022-01-02 04:00:00,0.8438,0.8466,0.8372,0.839,5658574.0,4763019.8452,7610
2022-01-02 05:00:00,0.8391,0.8437,0.8381,0.8432,3286810.0,2764329.4214,5358
2022-01-02 06:00:00,0.8433,0.8442,0.8413,0.8417,2735370.0,2303891.4999,4667
2022-01-02 07:00:00,0.8417,0.8432,0.8401,0.8425,2906848.0,2446142.7956,4866
2022-01-02 08:00:00,0.8424,0.845,0.8391,0.8438,3798477.0,3198442.0821,5787
2022-01-02 09:00:00,0.8438,0.8491,0.843,0.8474,5870717.0,4969149.7576,6862
2022-01-02 10:00:00,0.8473,0.8475,0.8443,0.8444,3198937.0,2706548.2124,5039
2022-01-02 11:00:00,0.8443,0.848,0.8442,0.8453,2937538.0,2485862.3767,4725
2022-01-02 12:00:00,0.8452,0.8487,0.8418,0.8466,5353409.0,4527033.0654,7099
