Gmt time,Open,High,Low,Close,Volume
01.01.2022 00:00:00.000,47537,47537,47537,47537,0
01.01.2022 01:00:00.000,47537,47537,47537,47537,0
01.01.2022 02:00:00.000,47537,47537,47537,47537,0
01.01.2022 03:00:00.000,47537,47537,47537,47537,0
01.01.2022 04:00:00.000,47537,47537,47537,47537,0
01.01.2022 05:00:00.000,47537,47537,47537,47537,0
01.01.2022 06:00:00.000,47537,47537,47537,47537,0
01.01.2022 07:00:00.000,47537,47537,47537,47537,0
01.01.2022 08:00:00.000,47537,47537,47537,47537,0
01.01.2022 09:00:00.000,47537,47537,47537,47537,0
01.01.2022 10:00:00.000,47537,47537,47537,47537,0
01.01.2022 11:00:00.000,47537,47537,47537,47537,0
01.01.2022 12:00:00.000,47537,47537,47537,47537,0
01.01.2022 13:00:00.000,47537,47537,47537,47537,0
01.01.2022 14:00:00.000,47104,47177,46936,46997,23602.9997
01.01.2022 15:00:00.000,46995,47535,46957,47294,19881.0007
01.01.2022 16:00:00.000,47294,47594,47283,47350,28184.0004
01.01.2022 17:00:00.000,47350,48006,47329,47832,26884.0007
01.01.2022 18:00:00.000,47830,47901,47516,47640,31193.9996
01.01.2022 19:00:00.000,47640,47692,47381,47413,24263.0001
01.01.2022 20:00:00.000,47413,47633,47380,47483,10200.9997
01.01.2022 21:00:00.000,47484,47613,47364,47397,21816.0003
01.01.2022 22:00:00.000,47391,47563,47320,47518,17473.9994
01.01.2022 23:00:00.000,47518,47878,47375,47807,22641.9996
02.01.2022 00:00:00.000,47805,47831,47487,47717,23421.0007
02.01.2022 01:00:00.000,47710,47721,47410,47454,19338.0006
02.01.2022 02:00:00.000,47454,47521,47366,47447,21745
02.01.2022 03:00:00.000,47447,47531,47350,47409,19485.0005
02.01.2022 04:00:00.000,47406,47490,46858,46986,26613.9992
02.01.2022 05:00:00.000,46987,47162,46918,47158,31803.0007
02.01.2022 06:00:00.000,47157,47304,47099,47208,26233.0007
02.01.2022 07:00:00.000,47205,47372,47172,47252,21800.0002
02.01.2022 08:00:00.000,47253,47300,47040,47280,42467.0018
02.01.2022 09:00:00.000,47280,47508,47216,47337,42858.0008
02.01.2022 10:00:00.000,47337,47406,47211,47243,32143.9989
02.01.2022 11:00:00.000,47243,47442,47226,47297,38114.9985
02.01.2022 12:00:00.000,47297,47504,47084,47357,48854.0009
02.01.2022 13:00:00.000,47357,47361,47152,47211,41981.9988
02.01.2022 14:00:00.000,47211,47253,47082,47176,41949.0002
02.01.2022 15:00:00.000,47175,47419,47141,47397,45591.0005
02.01.2022 16:00:00.000,47398,47920,47359,47857,53040.9999
02.01.2022 17:00:00.000,47856,48020,47420,47473,56072.0004
02.01.2022 18:00:00.000,47473,47473,46737,47105,57631.0009
02.01.2022 19:00:00.000,47105,47269,46919,46977,47529.9992
02.01.2022 20:00:00.000,46978,47108,46907,47076,37229.9999
02.01.2022 21:00:00.000,47073,47224,46985,47078,34782.9983
02.01.2022 22:00:00.000,47119,47462,47118,47321,32065.0004
02.01.2022 23:00:00.000,47321,47530,47320,47356,69310.002
