Gmt time,Open,High,Low,Close,Volume
01.01.2022 00:00:00.000,47429,47429,47429,47429,0
01.01.2022 01:00:00.000,47429,47429,47429,47429,0
01.01.2022 02:00:00.000,47429,47429,47429,47429,0
01.01.2022 03:00:00.000,47429,47429,47429,47429,0
01.01.2022 04:00:00.000,47429,47429,47429,47429,0
01.01.2022 05:00:00.000,47429,47429,47429,47429,0
01.01.2022 06:00:00.000,47429,47429,47429,47429,0
01.01.2022 07:00:00.000,47429,47429,47429,47429,0
01.01.2022 08:00:00.000,47429,47429,47429,47429,0
01.01.2022 09:00:00.000,47429,47429,47429,47429,0
01.01.2022 10:00:00.000,47429,47429,47429,47429,0
01.01.2022 11:00:00.000,47429,47429,47429,47429,0
01.01.2022 12:00:00.000,47429,47429,47429,47429,0
01.01.2022 13:00:00.000,47429,47429,47429,47429,0
01.01.2022 14:00:00.000,46974,47047,46806,46867,22526.9999
01.01.2022 15:00:00.000,46865,47405,46827,47164,19930.9997
01.01.2022 16:00:00.000,47164,47464,47153,47220,28133.9996
01.01.2022 17:00:00.000,47220,47876,47199,47702,25820.0001
01.01.2022 18:00:00.000,47700,47771,47386,47510,30106.0006
01.01.2022 19:00:00.000,47510,47562,47251,47283,24274.0009
01.01.2022 20:00:00.000,47283,47503,47250,47353,9793.9996
01.01.2022 21:00:00.000,47354,47483,47234,47267,20951.9994
01.01.2022 22:00:00.000,47261,47433,47190,47388,16333.0007
01.01.2022 23:00:00.000,47397,47748,47245,47676,22642.9999
02.01.2022 00:00:00.000,47675,47701,47357,47587,23149.0005
02.01.2022 01:00:00.000,47587,47590,47279,47323,18928.9991
02.01.2022 02:00:00.000,47324,47391,47236,47317,20600.0004
02.01.2022 03:00:00.000,47317,47401,47220,47278,18561
02.01.2022 04:00:00.000,47276,47360,46728,46856,25797.0002
02.01.2022 05:00:00.000,46857,47032,46788,47027,30404.9999
02.01.2022 06:00:00.000,47027,47174,46969,47078,25286.0002
02.01.2022 07:00:00.000,47075,47242,47042,47122,21036.9993
02.01.2022 08:00:00.000,47123,47189,46940,47169,46064.0006
02.01.2022 09:00:00.000,47169,47433,47106,47228,45706.9986
02.01.2022 10:00:00.000,47227,47295,47105,47136,34720.9983
02.01.2022 11:00:00.000,47135,47332,47118,47187,40295.9995
02.01.2022 12:00:00.000,47187,47393,46974,47246,51972.0018
02.01.2022 13:00:00.000,47246,47250,47042,47103,43255.9997
02.01.2022 14:00:00.000,47102,47143,46972,47065,43388.0016
02.01.2022 15:00:00.000,47064,47312,47030,47290,48193.9986
02.01.2022 16:00:00.000,47290,47819,47248,47747,55720.0015
