unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1647216000000,2022-03-14 00:00:00,XRP/USDT,0.7602,0.7602,0.745,0.7541,21383615.0,16118005.0624,15156
1647212400000,2022-03-13 23:00:00,XRP/USDT,0.7597,0.7636,0.7555,0.7602,20485584.0,15574309.4374,18198
1647208800000,2022-03-13 22:00:00,XRP/USDT,0.7868,0.7886,0.7508,0.7598,44397080.0,34193382.8269,41714
1647205200000,2022-03-13 21:00:00,XRP/USDT,0.7875,0.7892,0.7849,0.7868,6169305.0,4856136.0711,10545
1647201600000,2022-03-13 20:00:00,XRP/USDT,0.7839,0.7879,0.7803,0.7874,9689762.0,7595197.453,7558
1647198000000,2022-03-13 19:00:00,XRP/USDT,0.7893,0.7925,0.7835,0.7839,9143973.0,7204753.0778,12249
1647194400000,2022-03-13 18:00:00,XRP/USDT,0.7844,0.79,0.7843,0.7893,8313730.0,6548584.8322,9363
1647190800000,2022-03-13 17:00:00,XRP/USDT,0.7836,0.7863,0.7822,0.7843,7993511.0,6265840.1982,8384
1647187200000,2022-03-13 16:00:00,XRP/USDT,0.7849,0.7858,0.7819,0.7837,9491262.0,7438722.0108,9557
1647183600000,2022-03-13 15:00:00,XRP/USDT,0.7855,0.79,0.784,0.785,9886844.0,7783080.9279,9498
1647180000000,2022-03-13 14:00:00,XRP/USDT,0.7837,0.7881,0.7827,0.7856,10404895.0,8175197.8897,8579
1647176400000,2022-03-13 13:00:00,XRP/USDT,0.7809,0.7888,0.7785,0.7836,18458196.0,14481956.5611,18141
1647172800000,2022-03-13 12:00:00,XRP/USDT,0.7916,0.7922,0.7786,0.781,24175570.0,18952118.0045,21490
1647169200000,2022-03-13 11:00:00,XRP/USDT,0.7987,0.7994,0.7876,0.7916,13140358.0,10420092.6825,12740
1647165600000,2022-03-13 10:00:00,XRP/USDT,0.7977,0.7993,0.7927,0.7987,9887088.0,7876345.6223,12400
1647162000000,2022-03-13 09:00:00,XRP/USDT,0.8029,0.805,0.7976,0.7976,11541310.0,9241180.0951,10046
1647158400000,2022-03-13 08:00:00,XRP/USDT,0.798,0.8042,0.7968,0.8029,11221084.0,8980324.6604,9258
1647154800000,2022-03-13 07:00:00,XRP/USDT,0.7998,0.8057,0.7978,0.798,13158433.0,10539704.8921,14947
1647151200000,2022-03-13 06:00:00,XRP/USDT,0.7999,0.8016,0.7938,0.7999,12035890.0,9596987.7013,8683
1647147600000,2022-03-13 05:00:00,XRP/USDT,0.7966,0.8034,0.7966,0.8,8694018.0,6957093.3159,7946
1647144000000,2022-03-13 04:00:00,XRP/USDT,0.7972,0.7992,0.7947,0.7966,8047517.0,6414124.8363,8681
1647140400000,2022-03-13 03:00:00,XRP/USDT,0.7908,0.7992,0.7903,0.7972,15188299.0,12071108.2623,16239
1647136800000,2022-03-13 02:00:00,XRP/USDT,0.7884,0.7942,0.7881,0.7907,8089537.0,6403128.0491,8162
1647133200000,2022-03-13 01:00:00,XRP/USDT,0.79,0.7946,0.7871,0.7885,9559540.0,7561207.7573,9867
1647129600000,2022-03-13 00:00:00,XRP/USDT,0.7857,0.7917,0.7837,0.79,12106792.0,9538902.909,9994
1647126000000,2022-03-12 23:00:00,XRP/USDT,0.791,0.7926,0.7826,0.7857,9960972.0,7838486.2858,8147
1647122400000,2022-03-12 22:00:00,XRP/USDT,0.7872,0.7943,0.7858,0.791,5934553.0,4685389.2691,7432
1647118800000,2022-03-12 21:00:00,XRP/USDT,0.7966,0.7981,0.7824,0.7872,13887599.0,10986506.568,15781
1647115200000,2022-03-12 20:00:00,XRP/USDT,0.7905,0.8079,0.7893,0.7965,24015003.0,19212618.4948,31374
1647111600000,2022-03-12 19:00:00,XRP/USDT,0.7896,0.7927,0.7875,0.7906,8435354.0,6667015.5765,21883
1647108000000,2022-03-12 18:00:00,XRP/USDT,0.7868,0.79,0.7852,0.7895,5917210.0,4662136.1271,10979
1647104400000,2022-03-12 17:00:00,XRP/USDT,0.7886,0.794,0.7848,0.7868,12906101.0,10191683.2216,13434
1647100800000,2022-03-12 16:00:00,XRP/USDT,0.7904,0.7954,0.7859,0.7886,15977409.0,12632873.359,14752
1647097200000,2022-03-12 15:00:00,XRP/USDT,0.7864,0.794,0.7836,0.7905,14565119.0,11509234.2403,13756
1647093600000,2022-03-12 14:00:00,XRP/USDT,0.7858,0.7964,0.7804,0.7864,21710689.0,17106546.2687,22851
1647090000000,2022-03-12 13:00:00,XRP/USDT,0.7893,0.7909,0.7824,0.7858,16335270.0,12837483.6888,18188
1647086400000,2022-03-12 12:00:00,XRP/USDT,0.7856,0.7899,0.7784,0.7893,19896794.0,15603234.9736,20869
1647082800000,2022-03-12 11:00:00,XRP/USDT,0.7957,0.7966,0.7815,0.7855,21627174.0,17037582.9418,19931
1647079200000,2022-03-12 10:00:00,XRP/USDT,0.7901,0.801,0.7877,0.7956,21940642.0,17440487.3457,20986
1647075600000,2022-03-12 09:00:00,XRP/USDT,0.7847,0.7962,0.7835,0.7902,20237009.0,15983483.2648,20870
1647072000000,2022-03-12 08:00:00,XRP/USDT,0.7962,0.7963,0.7783,0.7847,37874418.0,29769820.7104,36291
1647068400000,2022-03-12 07:00:00,XRP/USDT,0.7991,0.8014,0.7915,0.7961,24824468.0,19734981.1826,31260
1647064800000,2022-03-12 06:00:00,XRP/USDT,0.813,0.8164,0.7958,0.7991,31119342.0,25052115.3578,31928
1647061200000,2022-03-12 05:00:00,XRP/USDT,0.8112,0.8181,0.8067,0.813,17775840.0,14450938.8442,18536
1647057600000,2022-03-12 04:00:00,XRP/USDT,0.8148,0.8173,0.807,0.8112,27955799.0,22716159.3938,38967
1647054000000,2022-03-12 03:00:00,XRP/USDT,0.8247,0.8305,0.8125,0.8148,30220912.0,24859163.582,41280
1647050400000,2022-03-12 02:00:00,XRP/USDT,0.8397,0.849,0.8234,0.8247,43047647.0,35997233.8239,45204
1647046800000,2022-03-12 01:00:00,XRP/USDT,0.8215,0.8469,0.818,0.8398,74677486.0,62417235.5554,84857
1647043200000,2022-03-12 00:00:00,XRP/USDT,0.8028,0.8223,0.7962,0.8216,68216316.0,55167479.8467,73215
1647039600000,2022-03-11 23:00:00,XRP/USDT,0.8043,0.81,0.7957,0.8029,48402579.0,38825107.2384,37715
1647036000000,2022-03-11 22:00:00,XRP/USDT,0.8087,0.8132,0.7864,0.8043,44471130.0,35445127.2912,49317
1647032400000,2022-03-11 21:00:00,XRP/USDT,0.7654,0.814,0.7653,0.8087,107588987.0,85414420.4908,119701
1647028800000,2022-03-11 20:00:00,XRP/USDT,0.7369,0.7739,0.7367,0.7654,68269900.0,51843812.4989,68997
1647025200000,2022-03-11 19:00:00,XRP/USDT,0.7265,0.7369,0.7252,0.7368,10987895.0,8042521.8105,9915
1647021600000,2022-03-11 18:00:00,XRP/USDT,0.729,0.7301,0.7262,0.7266,6843177.0,4984610.5981,7868
1647018000000,2022-03-11 17:00:00,XRP/USDT,0.7292,0.7295,0.7267,0.7289,7003050.0,5100549.6905,8776
1647014400000,2022-03-11 16:00:00,XRP/USDT,0.7316,0.7316,0.725,0.7292,16078932.0,11703163.1572,13002
1647010800000,2022-03-11 15:00:00,XRP/USDT,0.7361,0.7361,0.7277,0.7315,15614414.0,11418213.0091,17452
1647007200000,2022-03-11 14:00:00,XRP/USDT,0.7407,0.7426,0.7344,0.7361,9977803.0,7375341.5949,12115
1647003600000,2022-03-11 13:00:00,XRP/USDT,0.7445,0.7452,0.7377,0.7407,12529256.0,9283390.2932,11901
1647000000000,2022-03-11 12:00:00,XRP/USDT,0.7447,0.7508,0.7414,0.7445,19172188.0,14308407.9593,15571
1646996400000,2022-03-11 11:00:00,XRP/USDT,0.7372,0.7484,0.7326,0.7448,24539430.0,18196761.3147,20877
1646992800000,2022-03-11 10:00:00,XRP/USDT,0.7387,0.7416,0.7369,0.7372,7003845.0,5175569.3919,6021
1646989200000,2022-03-11 09:00:00,XRP/USDT,0.7377,0.7417,0.737,0.7387,7722632.0,5712008.3905,6977
1646985600000,2022-03-11 08:00:00,XRP/USDT,0.7456,0.7456,0.7358,0.7376,14617389.0,10827649.0962,17934
1646982000000,2022-03-11 07:00:00,XRP/USDT,0.7465,0.7513,0.7445,0.7454,13883502.0,10394391.5684,15906
1646978400000,2022-03-11 06:00:00,XRP/USDT,0.7465,0.7494,0.7424,0.7464,13156758.0,9819666.0144,9457
1646974800000,2022-03-11 05:00:00,XRP/USDT,0.7363,0.7486,0.7353,0.7466,12295651.0,9130478.265,11400
1646971200000,2022-03-11 04:00:00,XRP/USDT,0.7386,0.739,0.7348,0.7363,7653134.0,5639570.6107,6199
1646967600000,2022-03-11 03:00:00,XRP/USDT,0.7347,0.7414,0.7341,0.7387,16991290.0,12528014.6691,12576
1646964000000,2022-03-11 02:00:00,XRP/USDT,0.7328,0.7348,0.7267,0.7347,16396110.0,11981838.568,12712
1646960400000,2022-03-11 01:00:00,XRP/USDT,0.7358,0.7363,0.7285,0.7327,15033324.0,10991635.3762,12703
1646956800000,2022-03-11 00:00:00,XRP/USDT,0.7361,0.7396,0.7318,0.7358,10752406.0,7913428.1316,10557
1646953200000,2022-03-10 23:00:00,XRP/USDT,0.7414,0.7427,0.7346,0.7361,6827008.0,5045556.8388,5379
1646949600000,2022-03-10 22:00:00,XRP/USDT,0.7383,0.7425,0.7351,0.7413,5332159.0,3939610.555,5245
1646946000000,2022-03-10 21:00:00,XRP/USDT,0.7437,0.744,0.7378,0.7384,7120149.0,5273922.7334,7537
1646942400000,2022-03-10 20:00:00,XRP/USDT,0.7386,0.7449,0.7357,0.7436,9878414.0,7309198.4063,9649
1646938800000,2022-03-10 19:00:00,XRP/USDT,0.7316,0.7398,0.7307,0.7387,10228407.0,7521321.277,9279
1646935200000,2022-03-10 18:00:00,XRP/USDT,0.7296,0.7322,0.7281,0.7315,6675994.0,4872656.2847,5676
1646931600000,2022-03-10 17:00:00,XRP/USDT,0.7302,0.7326,0.7274,0.7297,7677412.0,5605456.6737,7301
1646928000000,2022-03-10 16:00:00,XRP/USDT,0.7283,0.7308,0.7266,0.7302,11602118.0,8451821.6229,9876
1646924400000,2022-03-10 15:00:00,XRP/USDT,0.7302,0.7346,0.7276,0.7284,20205967.0,14766059.7238,18600
1646920800000,2022-03-10 14:00:00,XRP/USDT,0.7278,0.7309,0.7234,0.7301,23203581.0,16879351.2519,24623
1646917200000,2022-03-10 13:00:00,XRP/USDT,0.7364,0.7448,0.7215,0.7278,43138448.0,31581392.24,37198
1646913600000,2022-03-10 12:00:00,XRP/USDT,0.7334,0.7377,0.7314,0.7363,9749938.0,7168003.9019,9794
1646910000000,2022-03-10 11:00:00,XRP/USDT,0.7322,0.7343,0.7302,0.7333,7441965.0,5452013.729,6106
1646906400000,2022-03-10 10:00:00,XRP/USDT,0.7317,0.7366,0.7311,0.7322,11210738.0,8227184.7501,7999
1646902800000,2022-03-10 09:00:00,XRP/USDT,0.7349,0.7359,0.7301,0.7317,10765499.0,7893901.5294,7910
1646899200000,2022-03-10 08:00:00,XRP/USDT,0.7385,0.7385,0.7285,0.7349,20031633.0,14679082.7477,13139
1646895600000,2022-03-10 07:00:00,XRP/USDT,0.7388,0.7409,0.737,0.7385,14786189.0,10923512.286,10247
1646892000000,2022-03-10 06:00:00,XRP/USDT,0.733,0.7421,0.7319,0.7389,19349052.0,14245214.7759,13922
1646888400000,2022-03-10 05:00:00,XRP/USDT,0.7398,0.7398,0.7289,0.733,29353883.0,21530626.0242,23974
1646884800000,2022-03-10 04:00:00,XRP/USDT,0.7583,0.7602,0.7381,0.7399,39507809.0,29488717.4249,29096
1646881200000,2022-03-10 03:00:00,XRP/USDT,0.7553,0.7605,0.7536,0.7582,12913311.0,9781902.4101,9779
1646877600000,2022-03-10 02:00:00,XRP/USDT,0.7595,0.7614,0.7525,0.7554,16583696.0,12559045.7886,17096
1646874000000,2022-03-10 01:00:00,XRP/USDT,0.7687,0.7734,0.7573,0.7595,19043261.0,14554318.7728,22799
1646870400000,2022-03-10 00:00:00,XRP/USDT,0.7659,0.7797,0.7633,0.7687,35150768.0,27128023.7004,38170
1646866800000,2022-03-09 23:00:00,XRP/USDT,0.7613,0.7688,0.7608,0.7658,11489459.0,8792185.8696,8855
1646863200000,2022-03-09 22:00:00,XRP/USDT,0.7624,0.7663,0.7582,0.7612,6784902.0,5177370.8999,6006
1646859600000,2022-03-09 21:00:00,XRP/USDT,0.7616,0.7632,0.7592,0.7624,9194525.0,6998934.8561,6783
1646856000000,2022-03-09 20:00:00,XRP/USDT,0.7626,0.7655,0.7573,0.7615,9742892.0,7423204.8414,8274
1646852400000,2022-03-09 19:00:00,XRP/USDT,0.7616,0.765,0.7563,0.7627,13137900.0,9997866.3866,13312
1646848800000,2022-03-09 18:00:00,XRP/USDT,0.7702,0.7703,0.7581,0.7616,16682006.0,12720226.1652,15123
1646845200000,2022-03-09 17:00:00,XRP/USDT,0.762,0.7714,0.7615,0.7703,12533292.0,9611386.9099,13248
1646841600000,2022-03-09 16:00:00,XRP/USDT,0.7669,0.775,0.7602,0.7621,24963927.0,19151130.4974,20889
1646838000000,2022-03-09 15:00:00,XRP/USDT,0.7557,0.769,0.754,0.7668,23137426.0,17627661.9604,22332
1646834400000,2022-03-09 14:00:00,XRP/USDT,0.7495,0.7583,0.7494,0.7557,19264699.0,14532244.1643,15347
1646830800000,2022-03-09 13:00:00,XRP/USDT,0.7495,0.7535,0.7455,0.7495,14553393.0,10909080.5858,14634
1646827200000,2022-03-09 12:00:00,XRP/USDT,0.7511,0.7605,0.7446,0.7496,27734915.0,20890972.8851,30213
1646823600000,2022-03-09 11:00:00,XRP/USDT,0.7545,0.7557,0.751,0.7511,18860820.0,14207726.8294,15711
1646820000000,2022-03-09 10:00:00,XRP/USDT,0.7522,0.755,0.7503,0.7546,11562474.0,8701679.965,9252
1646816400000,2022-03-09 09:00:00,XRP/USDT,0.7529,0.7548,0.7494,0.7521,14023253.0,10554443.2975,10047
1646812800000,2022-03-09 08:00:00,XRP/USDT,0.7501,0.7577,0.7498,0.7529,26057627.0,19638618.4823,25624
1646809200000,2022-03-09 07:00:00,XRP/USDT,0.7462,0.7518,0.7445,0.75,15472575.0,11574201.3295,13561
1646805600000,2022-03-09 06:00:00,XRP/USDT,0.7442,0.7476,0.743,0.7462,19517069.0,14542220.469,14400
1646802000000,2022-03-09 05:00:00,XRP/USDT,0.7483,0.7497,0.7418,0.7441,14744894.0,10987620.3703,10731
1646798400000,2022-03-09 04:00:00,XRP/USDT,0.7435,0.7495,0.7418,0.7483,24338876.0,18152025.6103,16210
1646794800000,2022-03-09 03:00:00,XRP/USDT,0.7279,0.751,0.7277,0.7434,32053938.0,23727169.3462,28317
1646791200000,2022-03-09 02:00:00,XRP/USDT,0.7282,0.7311,0.727,0.7279,10946097.0,7978565.842,7311
1646787600000,2022-03-09 01:00:00,XRP/USDT,0.7273,0.7296,0.7255,0.7281,9759067.0,7099753.7864,7777
1646784000000,2022-03-09 00:00:00,XRP/USDT,0.7208,0.7274,0.7199,0.7272,10476083.0,7581644.3803,8130
1646780400000,2022-03-08 23:00:00,XRP/USDT,0.7189,0.7236,0.7181,0.7207,6791104.0,4897641.522,5140
1646776800000,2022-03-08 22:00:00,XRP/USDT,0.7185,0.7202,0.7176,0.719,5156701.0,3705247.0211,3600
1646773200000,2022-03-08 21:00:00,XRP/USDT,0.7174,0.7193,0.716,0.7185,4708946.0,3379235.4379,4139
1646769600000,2022-03-08 20:00:00,XRP/USDT,0.7241,0.7256,0.716,0.7173,8011491.0,5767817.2248,7089
1646766000000,2022-03-08 19:00:00,XRP/USDT,0.7222,0.7253,0.7189,0.7241,9237783.0,6670973.9421,7498
1646762400000,2022-03-08 18:00:00,XRP/USDT,0.7237,0.7288,0.7211,0.7222,15516775.0,11250657.2494,11953
1646758800000,2022-03-08 17:00:00,XRP/USDT,0.7152,0.7249,0.7149,0.7237,17613274.0,12694643.6978,13779
1646755200000,2022-03-08 16:00:00,XRP/USDT,0.7231,0.7254,0.7139,0.7153,17188603.0,12353981.0083,12533
1646751600000,2022-03-08 15:00:00,XRP/USDT,0.7221,0.7242,0.7167,0.723,19124074.0,13772134.2306,12816
1646748000000,2022-03-08 14:00:00,XRP/USDT,0.7244,0.7265,0.7193,0.7221,18275932.0,13209369.7492,13135
1646744400000,2022-03-08 13:00:00,XRP/USDT,0.7253,0.7278,0.7204,0.7245,12660871.0,9167442.1512,9367
1646740800000,2022-03-08 12:00:00,XRP/USDT,0.727,0.7297,0.7233,0.7254,10037505.0,7288231.7857,8556
1646737200000,2022-03-08 11:00:00,XRP/USDT,0.7283,0.7289,0.7226,0.7269,8221559.0,5969700.3948,7399
1646733600000,2022-03-08 10:00:00,XRP/USDT,0.7279,0.7313,0.7222,0.7283,11105514.0,8067696.6887,8755
1646730000000,2022-03-08 09:00:00,XRP/USDT,0.7244,0.7286,0.7235,0.728,9933958.0,7214741.3061,7359
1646726400000,2022-03-08 08:00:00,XRP/USDT,0.7235,0.7295,0.7213,0.7245,13441871.0,9758525.2892,10514
1646722800000,2022-03-08 07:00:00,XRP/USDT,0.7186,0.7263,0.7172,0.7234,14353988.0,10352049.096,9707
1646719200000,2022-03-08 06:00:00,XRP/USDT,0.7218,0.7238,0.7135,0.7186,19453477.0,13952838.1515,13318
1646715600000,2022-03-08 05:00:00,XRP/USDT,0.7263,0.7276,0.7199,0.7218,13006128.0,9402414.164,10632
1646712000000,2022-03-08 04:00:00,XRP/USDT,0.7283,0.7298,0.725,0.7264,9823630.0,7145139.6279,10025
1646708400000,2022-03-08 03:00:00,XRP/USDT,0.7255,0.7284,0.7241,0.7283,8594410.0,6242589.8715,7659
1646704800000,2022-03-08 02:00:00,XRP/USDT,0.723,0.7305,0.7204,0.7255,13376234.0,9702582.4024,9764
1646701200000,2022-03-08 01:00:00,XRP/USDT,0.7238,0.727,0.7189,0.723,12493087.0,9041172.2981,14772
1646697600000,2022-03-08 00:00:00,XRP/USDT,0.7196,0.727,0.7161,0.7237,15295022.0,11046856.6595,11969
1646694000000,2022-03-07 23:00:00,XRP/USDT,0.7234,0.7305,0.7197,0.7197,13512217.0,9790055.128,11695
1646690400000,2022-03-07 22:00:00,XRP/USDT,0.72,0.7284,0.7192,0.7235,9983235.0,7224925.9643,9218
1646686800000,2022-03-07 21:00:00,XRP/USDT,0.7164,0.724,0.7133,0.7201,20415462.0,14661965.3617,16610
1646683200000,2022-03-07 20:00:00,XRP/USDT,0.7113,0.7178,0.7033,0.7164,31383124.0,22313265.6055,28007
1646679600000,2022-03-07 19:00:00,XRP/USDT,0.7263,0.7305,0.7109,0.7113,32999173.0,23695733.0258,27200
1646676000000,2022-03-07 18:00:00,XRP/USDT,0.7362,0.7362,0.7219,0.7263,26936678.0,19591141.097,24483
