Local time,Open,High,Low,Close,Volume
31.12.2021 02:00:00.000 GMT+0200,47178,48621,46887,47537,1048738.9565
01.01.2022 02:00:00.000 GMT+0200,47104,48006,46936,47807,226142.0002
02.01.2022 02:00:00.000 GMT+0200,47805,48020,46737,47356,912061.0040000001
03.01.2022 02:00:00.000 GMT+0200,47355,47626,45768,46503,1420825.9881
04.01.2022 02:00:00.000 GMT+0200,46504,47589,45614,45884,1383703.0047000002
05.01.2022 02:00:00.000 GMT+0200,45884,47099,42562,43492,1525510.9967999998
06.01.2022 02:00:00.000 GMT+0200,43499,43829,42504,43150,1600704.9980000001
07.01.2022 02:00:00.000 GMT+0200,43150,43189,40719,41618,1794012.9861999997
08.01.2022 02:00:00.000 GMT+0200,41619,42359,40601,41743,1232483.2082000002
09.01.2022 02:00:00.000 GMT+0200,41743,42825,41293,41920,1265142.0047999998
10.01.2022 02:00:00.000 GMT+0200,41920,42299,39715,41881,1494675.3512999997
11.01.2022 02:00:00.000 GMT+0200,41883,43141,41341,42793,1590126.0005000003
12.01.2022 02:00:00.000 GMT+0200,42793,44341,42525,43964,1836310.0139000004
13.01.2022 02:00:00.000 GMT+0200,43964,44477,42388,42629,1943741.9958000001
14.01.2022 02:00:00.000 GMT+0200,42628,43505,41840,43155,1767535.9956999996
15.01.2022 02:00:00.000 GMT+0200,43156,43867,42646,43134,855215.0027
16.01.2022 02:00:00.000 GMT+0200,43140,43529,42667,43134,952275.0003999999
17.01.2022 02:00:00.000 GMT+0200,43134,43245,41627,42273,1424859.9968
18.01.2022 02:00:00.000 GMT+0200,42273,42710,41353,42430,2286845.9968
19.01.2022 02:00:00.000 GMT+0200,42428,42620,41217,41732,1526119.9996
20.01.2022 02:00:00.000 GMT+0200,41732,43560,40624,40735,1313787.3893999998
21.01.2022 02:00:00.000 GMT+0200,40752,41166,35487,36521,1982552.994
22.01.2022 02:00:00.000 GMT+0200,36522,36884,34087,35130,2040823.9886
23.01.2022 02:00:00.000 GMT+0200,35130,36499,34690,36320,1240426.9875000003
24.01.2022 02:00:00.000 GMT+0200,36320,37500,33036,36730,1780314.9819
25.01.2022 02:00:00.000 GMT+0200,36730,37577,35775,37013,1992416.9852
26.01.2022 02:00:00.000 GMT+0200,37013,38969,36327,36876,2774475.0232
27.01.2022 02:00:00.000 GMT+0200,36885,37286,35597,37235,1834930.0174999998
28.01.2022 02:00:00.000 GMT+0200,37235,38000,36231,37807,1659216.7019999996
29.01.2022 02:00:00.000 GMT+0200,37807,38743,37383,38230,1131675.044
30.01.2022 02:00:00.000 GMT+0200,38230,38436,37430,37966,2125520.0130999996
