Local time,Open,High,Low,Close,Volume
31.12.2021 02:00:00.000 GMT+0200,47068,48512,46779,47429,946123.004
01.01.2022 02:00:00.000 GMT+0200,46974,47876,46806,47676,220514.0004
02.01.2022 02:00:00.000 GMT+0200,47675,47919,46635,47247,924583.0011999999
03.01.2022 02:00:00.000 GMT+0200,47247,47519,45700,46392,1299372.9934999999
04.01.2022 02:00:00.000 GMT+0200,46393,47482,45503,45776,1398571.0031
05.01.2022 02:00:00.000 GMT+0200,45779,47001,42441,43381,1740033.0120000003
06.01.2022 02:00:00.000 GMT+0200,43391,43722,42393,43039,1678911.0154999997
07.01.2022 02:00:00.000 GMT+0200,43039,43078,40620,41488,2041746.0129999998
08.01.2022 02:00:00.000 GMT+0200,41489,42249,40551,41632,1152497.597
09.01.2022 02:00:00.000 GMT+0200,41632,42725,41251,41815,1203124.2026999998
10.01.2022 02:00:00.000 GMT+0200,41809,42189,39604,41771,1433530.0026000007
11.01.2022 02:00:00.000 GMT+0200,41772,43054,41231,42683,1366492.8038999997
12.01.2022 02:00:00.000 GMT+0200,42682,44253,42424,43863,1574862.9904999998
13.01.2022 02:00:00.000 GMT+0200,43859,44382,42277,42518,1615962.8106000004
14.01.2022 02:00:00.000 GMT+0200,42517,43395,41732,43025,1487830.8011
15.01.2022 02:00:00.000 GMT+0200,43026,43756,42536,43035,904961.9902
16.01.2022 02:00:00.000 GMT+0200,43035,43423,42560,43031,1038164.9899000002
17.01.2022 02:00:00.000 GMT+0200,43031,43141,41506,42166,1214479.7776999997
18.01.2022 02:00:00.000 GMT+0200,42165,42617,41247,42319,1891232.1257000002
19.01.2022 02:00:00.000 GMT+0200,42317,42517,41107,41625,1473063.9978999998
20.01.2022 02:00:00.000 GMT+0200,41624,43452,40547,40675,1248739.1008
21.01.2022 02:00:00.000 GMT+0200,40651,41055,35437,36437,1967732.7236000001
22.01.2022 02:00:00.000 GMT+0200,36437,36771,33983,35036,1405118.9998999997
23.01.2022 02:00:00.000 GMT+0200,35036,36489,34599,36242,469411.7959000001
24.01.2022 02:00:00.000 GMT+0200,36210,37491,32926,36636,1536936.6947000003
25.01.2022 02:00:00.000 GMT+0200,36628,37551,35668,36927,1645564.9957
26.01.2022 02:00:00.000 GMT+0200,36916,38858,36206,36853,2061355.9003
27.01.2022 02:00:00.000 GMT+0200,36853,37179,35487,37133,1847055.6224999996
28.01.2022 02:00:00.000 GMT+0200,37133,37944,36120,37694,1614550.586
29.01.2022 02:00:00.000 GMT+0200,37680,38678,37293,38126,991324.9968
30.01.2022 02:00:00.000 GMT+0200,38129,38319,37335,37875,1866320.2943000002
31.01.2022 02:00:00.000 GMT+0200,37858,38687,36642,38449,1345112.7109
01.02.2022 02:00:00.000 GMT+0200,38450,39215,38036,38667,1627197.8133999999
02.02.2022 02:00:00.000 GMT+0200,38667,38823,36582,36876,1218575.8019999997
03.02.2022 02:00:00.000 GMT+0200,36876,37302,36219,37266,1256908.106
04.02.2022 02:00:00.000 GMT+0200,37265,41693,36997,41554,1554039.9999000002
05.02.2022 02:00:00.000 GMT+0200,41549,41905,40918,41388,671740.9953
06.02.2022 02:00:00.000 GMT+0200,41371,42655,41136,42363,361049.9008
07.02.2022 02:00:00.000 GMT+0200,42363,44456,41632,43810,1421174.9805
08.02.2022 02:00:00.000 GMT+0200,43810,45431,42658,44021,1606205.6795999997
09.02.2022 02:00:00.000 GMT+0200,44021,44780,43129,44378,1419433.141
10.02.2022 02:00:00.000 GMT+0200,44378,45791,43166,43476,1370427.0067999999
11.02.2022 02:00:00.000 GMT+0200,43463,43962,41998,42405,1214329.1831999996
12.02.2022 02:00:00.000 GMT+0200,42405,43063,41710,42283,371767.1934
13.02.2022 02:00:00.000 GMT+0200,42283,42759,41855,42123,276233.76939999993
14.02.2022 02:00:00.000 GMT+0200,42123,42893,41510,42503,1027110.0961000001
15.02.2022 02:00:00.000 GMT+0200,42495,44714,42398,44519,1061761.9603
16.02.2022 02:00:00.000 GMT+0200,44519,44529,43336,43840,882749.2996999997
17.02.2022 02:00:00.000 GMT+0200,43840,44133,40039,40508,1209184.5153
18.02.2022 02:00:00.000 GMT+0200,40508,40992,39424,39971,892650.3905000001
19.02.2022 02:00:00.000 GMT+0200,39971,40436,39619,40137,342447.5888999999
20.02.2022 02:00:00.000 GMT+0200,40137,40180,38010,38349,329612.3996
21.02.2022 02:00:00.000 GMT+0200,38348,39437,36770,37015,1268010.3015
22.02.2022 02:00:00.000 GMT+0200,37015,38390,36319,38229,1279790.7087
23.02.2022 02:00:00.000 GMT+0200,38198,39280,37045,37294,807332.4524000001
24.02.2022 02:00:00.000 GMT+0200,37294,39640,34300,38315,2569572.9143000003
25.02.2022 02:00:00.000 GMT+0200,38300,39718,37986,39178,1141339.1053999998
26.02.2022 02:00:00.000 GMT+0200,39178,40235,38652,39076,898519.7030999998
27.02.2022 02:00:00.000 GMT+0200,39082,39882,37000,37724,1054223.4917
28.02.2022 02:00:00.000 GMT+0200,37724,44125,37427,43144,1463878.9034999998
01.03.2022 02:00:00.000 GMT+0200,43145,44986,42823,44381,1615436.5015000005
02.03.2022 02:00:00.000 GMT+0200,44382,45250,43306,43965,1353149.8980000005
03.03.2022 02:00:00.000 GMT+0200,43965,44133,41794,42428,892521.3503000003
04.03.2022 02:00:00.000 GMT+0200,42415,42477,38556,39091,1368993.3007
05.03.2022 02:00:00.000 GMT+0200,39105,39561,38563,39323,798670.0000000001
06.03.2022 02:00:00.000 GMT+0200,39354,39662,38089,38375,742833.5996999998
07.03.2022 02:00:00.000 GMT+0200,38375,39563,37119,37979,1510647.4989000005
08.03.2022 02:00:00.000 GMT+0200,37958,39318,37837,38701,1686162.0007000002
09.03.2022 02:00:00.000 GMT+0200,38690,42587,38617,41902,1449553.2018000004
10.03.2022 02:00:00.000 GMT+0200,41904,41996,38556,39389,1283241.699499999
11.03.2022 02:00:00.000 GMT+0200,39387,40205,38190,38880,1568889.5979999988
12.03.2022 02:00:00.000 GMT+0200,38675,39402,38614,39111,559512.9301
