Local time,Open,High,Low,Close,Volume
31.12.2021 02:00:00.000 GMT+0200,475.606,476.857,474.667,474.887,1011605773.9258
01.01.2022 02:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 02:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 02:00:00.000 GMT+0200,476.296,477.827,473.836,477.756,1211931724.5483
04.01.2022 02:00:00.000 GMT+0200,479.186,479.966,475.586,477.506,1389171997.0704
05.01.2022 02:00:00.000 GMT+0200,477.147,477.967,468.276,468.426,1661845733.6427
06.01.2022 02:00:00.000 GMT+0200,467.877,470.806,465.416,467.946,2007440734.8631997
07.01.2022 02:00:00.000 GMT+0200,467.906,469.187,464.656,466.097,1670630264.2822
08.01.2022 02:00:00.000 GMT+0200,466.097,466.097,466.097,466.097,0
09.01.2022 02:00:00.000 GMT+0200,466.097,466.097,466.097,466.097,0
10.01.2022 02:00:00.000 GMT+0200,462.656,465.717,456.577,465.466,1744781204.2236
11.01.2022 02:00:00.000 GMT+0200,465.167,469.836,462.036,469.756,1611070983.8867
12.01.2022 02:00:00.000 GMT+0200,471.527,473.186,468.926,471.086,1527501754.7608
13.01.2022 02:00:00.000 GMT+0200,472.157,472.877,463.457,464.687,1937035522.4610002
14.01.2022 02:00:00.000 GMT+0200,461.126,465.067,459.896,464.917,1888715026.8553998
15.01.2022 02:00:00.000 GMT+0200,464.917,464.917,464.917,464.917,0
16.01.2022 02:00:00.000 GMT+0200,464.917,464.917,464.917,464.917,0
17.01.2022 02:00:00.000 GMT+0200,464.917,464.917,464.917,464.917,0
18.01.2022 02:00:00.000 GMT+0200,459.687,459.937,455.327,456.506,1784773788.4521
19.01.2022 02:00:00.000 GMT+0200,458.117,459.606,451.447,451.726,1935146377.5633998
20.01.2022 02:00:00.000 GMT+0200,453.717,458.737,446.257,446.627,1757283447.2656999
21.01.2022 02:00:00.000 GMT+0200,445.556,448.037,438.006,438.267,2436489685.0587
22.01.2022 02:00:00.000 GMT+0200,438.267,438.267,438.267,438.267,0
23.01.2022 02:00:00.000 GMT+0200,438.267,438.267,438.267,438.267,0
24.01.2022 02:00:00.000 GMT+0200,431.997,440.107,420.756,439.456,2610605850.2195997
25.01.2022 02:00:00.000 GMT+0200,433.037,439.707,427.146,434.266,2753931579.5898004
26.01.2022 02:00:00.000 GMT+0200,440.667,443.996,428.856,433.556,2467845886.2304997
27.01.2022 02:00:00.000 GMT+0200,438.196,441.507,429.436,431.307,2770065307.6173
28.01.2022 02:00:00.000 GMT+0200,432.667,441.886,427.806,441.877,2514367507.9346
29.01.2022 02:00:00.000 GMT+0200,441.877,441.877,441.877,441.877,0
30.01.2022 02:00:00.000 GMT+0200,441.877,441.877,441.877,441.877,0
31.01.2022 02:00:00.000 GMT+0200,441.217,450.267,439.786,450.056,2148455703.7353
01.02.2022 02:00:00.000 GMT+0200,450.677,453.625,446.996,453.256,2271841232.2999
02.02.2022 02:00:00.000 GMT+0200,455.426,458.116,453.036,457.296,2266758636.4745
03.02.2022 02:00:00.000 GMT+0200,450.937,452.966,445.976,446.457,2422845596.3136
04.02.2022 02:00:00.000 GMT+0200,446.337,452.757,443.846,449.186,2496467117.3096
05.02.2022 02:00:00.000 GMT+0200,449.186,449.186,449.186,449.186,0
06.02.2022 02:00:00.000 GMT+0200,449.186,449.186,449.186,449.186,0
07.02.2022 02:00:00.000 GMT+0200,449.476,450.986,445.847,447.226,2342370330.8105
08.02.2022 02:00:00.000 GMT+0200,446.687,451.907,445.206,450.877,2209095016.4795003
09.02.2022 02:00:00.000 GMT+0200,455.196,457.787,454.996,457.486,1691733612.0606
10.02.2022 02:00:00.000 GMT+0200,451.317,457.687,447.187,449.347,2378231399.5361
11.02.2022 02:00:00.000 GMT+0200,449.367,451.587,438.946,440.467,2810327697.7541
12.02.2022 02:00:00.000 GMT+0200,440.467,440.467,440.467,440.467,0
13.02.2022 02:00:00.000 GMT+0200,440.467,440.467,440.467,440.467,0
14.02.2022 02:00:00.000 GMT+0200,439.917,441.587,435.326,438.997,2540032196.0449996
15.02.2022 02:00:00.000 GMT+0200,443.687,446.277,443.176,446.066,1837452926.6357
16.02.2022 02:00:00.000 GMT+0200,443.927,448.046,441.946,446.636,1938815399.17
17.02.2022 02:00:00.000 GMT+0200,443.177,443.776,436.416,437.097,1753119293.2129002
18.02.2022 02:00:00.000 GMT+0200,437.317,438.647,431.796,434.097,2227060943.6035
19.02.2022 02:00:00.000 GMT+0200,434.097,434.097,434.097,434.097,0
20.02.2022 02:00:00.000 GMT+0200,434.097,434.097,434.097,434.097,0
21.02.2022 02:00:00.000 GMT+0200,434.097,434.097,434.097,434.097,0
22.02.2022 02:00:00.000 GMT+0200,431.886,435.487,425.826,429.757,2531880340.5762
23.02.2022 02:00:00.000 GMT+0200,432.646,433.247,421.346,422.016,2254923767.0899
24.02.2022 02:00:00.000 GMT+0200,411.006,428.747,410.626,427.797,2872877578.7354
25.02.2022 02:00:00.000 GMT+0200,429.597,437.827,427.856,437.687,2207939422.6075
26.02.2022 02:00:00.000 GMT+0200,437.687,437.687,437.687,437.687,0
27.02.2022 02:00:00.000 GMT+0200,437.687,437.687,437.687,437.687,0
28.02.2022 02:00:00.000 GMT+0200,432.006,438.185,430.696,436.586,2453645492.5537
01.03.2022 02:00:00.000 GMT+0200,435.016,437.156,426.996,430.076,2577287720.2041993
02.03.2022 02:00:00.000 GMT+0200,432.366,439.547,431.566,437.877,2222520861.1491027
03.03.2022 02:00:00.000 GMT+0200,440.406,441.097,433.836,435.676,2335688407.8977
04.03.2022 02:00:00.000 GMT+0200,431.697,433.357,427.866,430.516,2213049888.9435024
05.03.2022 02:00:00.000 GMT+0200,430.516,430.516,430.516,430.516,0
06.03.2022 02:00:00.000 GMT+0200,430.516,430.516,430.516,430.516,0
07.03.2022 02:00:00.000 GMT+0200,431.546,431.817,419.346,419.576,2435542289.733601
08.03.2022 02:00:00.000 GMT+0200,419.597,427.177,415.106,416.776,2874557038.3071036
09.03.2022 02:00:00.000 GMT+0200,425.137,429.506,422.817,427.097,2038004607.2004015
10.03.2022 02:00:00.000 GMT+0200,422.476,426.406,420.436,425.466,2151046179.055501
11.03.2022 02:00:00.000 GMT+0200,428.147,428.737,419.536,419.707,1990667332.8862996
12.03.2022 02:00:00.000 GMT+0200,419.707,419.707,419.707,419.707,0
