Local time,Open,High,Low,Close,Volume
01.01.2022 00:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 01:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 02:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 03:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 04:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 05:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 06:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 07:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 08:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 09:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 10:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 11:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 12:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 13:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 14:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 15:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 16:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 17:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 18:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 19:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 20:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 21:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 22:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
01.01.2022 23:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 00:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 01:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 02:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 03:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 04:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 05:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 06:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 07:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 08:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 09:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 10:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 11:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 12:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 13:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 14:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 15:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 16:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 17:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 18:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 19:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 20:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 21:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 22:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
02.01.2022 23:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 00:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 01:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 02:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 03:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 04:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 05:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 06:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 07:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 08:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 09:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 10:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 11:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 12:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 13:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 14:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 15:00:00.000 GMT+0200,474.887,474.887,474.887,474.887,0
03.01.2022 16:00:00.000 GMT+0200,476.296,477.707,473.836,474.916,161471496.582
03.01.2022 17:00:00.000 GMT+0200,474.927,476.767,474.757,476.147,280252990.7227
03.01.2022 18:00:00.000 GMT+0200,476.157,476.237,474.437,475.356,212912750.2441
03.01.2022 19:00:00.000 GMT+0200,475.356,475.987,475.016,475.577,153961746.2158
03.01.2022 20:00:00.000 GMT+0200,475.586,476.757,475.326,476.726,126818748.4741
03.01.2022 21:00:00.000 GMT+0200,476.727,477.677,476.596,477.207,113649749.7559
03.01.2022 22:00:00.000 GMT+0200,477.207,477.827,476.627,477.756,162864242.5537
03.01.2022 23:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 00:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 01:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 02:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 03:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 04:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 05:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 06:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 07:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 08:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 09:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 10:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 11:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 12:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 13:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 14:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 15:00:00.000 GMT+0200,477.756,477.756,477.756,477.756,0
04.01.2022 16:00:00.000 GMT+0200,479.186,479.966,479.046,479.676,131703750.6104
04.01.2022 17:00:00.000 GMT+0200,479.667,479.737,477.497,477.607,267653747.5586
04.01.2022 18:00:00.000 GMT+0200,477.597,477.967,476.416,477.467,258503509.5215
04.01.2022 19:00:00.000 GMT+0200,477.446,477.946,476.697,476.816,186092498.7793
04.01.2022 20:00:00.000 GMT+0200,476.807,477.317,475.586,475.716,197431243.8965
04.01.2022 21:00:00.000 GMT+0200,475.697,477.557,475.676,477.406,165996994.0186
04.01.2022 22:00:00.000 GMT+0200,477.406,478.957,477.366,477.506,181790252.6855
04.01.2022 23:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 00:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 01:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 02:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 03:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 04:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 05:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 06:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 07:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 08:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 09:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 10:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 11:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 12:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 13:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 14:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 15:00:00.000 GMT+0200,477.506,477.506,477.506,477.506,0
05.01.2022 16:00:00.000 GMT+0200,477.147,477.647,476.126,477.207,194536743.1641
05.01.2022 17:00:00.000 GMT+0200,477.206,477.967,476.737,477.296,287310760.498
05.01.2022 18:00:00.000 GMT+0200,477.296,477.387,476.296,476.546,193881744.3848
05.01.2022 19:00:00.000 GMT+0200,476.536,477.247,475.867,475.946,174026992.7979
05.01.2022 20:00:00.000 GMT+0200,475.936,476.117,475.296,475.836,153470748.9014
05.01.2022 21:00:00.000 GMT+0200,475.827,476.886,471.096,471.687,329920989.9902
05.01.2022 22:00:00.000 GMT+0200,471.707,471.707,468.276,468.426,328697753.9063
05.01.2022 23:00:00.000 GMT+0200,468.426,468.426,468.426,468.426,0
06.01.2022 00:00:00.000 GMT+0200,468.426,468.426,468.426,468.426,0
06.01.2022 01:00:00.000 GMT+0200,468.426,468.426,468.426,468.426,0
06.01.2022 02:00:00.000 GMT+0200,468.426,468.426,468.426,468.426,0
06.01.2022 03:00:00.000 GMT+0200,468.426,468.426,468.426,468.426,0
06.01.2022 04:00:00.000 GMT+0200,468.426,468.426,468.426,468.426,0
06.01.2022 05:00:00.000 GMT+0200,468.426,468.426,468.426,468.426,0
06.01.2022 06:00:00.000 GMT+0200,468.426,468.426,468.426,468.426,0
