Local time,Open,High,Low,Close,Volume
31.12.2021 02:00:00.000 GMT+0200,18.663,18.864,18.383,18.554,3000000000
01.01.2022 02:00:00.000 GMT+0200,18.554,18.554,18.554,18.554,0
02.01.2022 02:00:00.000 GMT+0200,18.554,18.554,18.554,18.554,0
03.01.2022 02:00:00.000 GMT+0200,18.314,18.654,17.893,17.903,4503000000
04.01.2022 02:00:00.000 GMT+0200,17.784,18.424,17.724,17.904,4483500762.9395
05.01.2022 02:00:00.000 GMT+0200,18.024,19.313,17.613,19.274,8047500000
06.01.2022 02:00:00.000 GMT+0200,19.374,19.704,18.813,19.393,10695000000
07.01.2022 02:00:00.000 GMT+0200,19.364,19.864,18.743,18.834,7988250732.4219
08.01.2022 02:00:00.000 GMT+0200,18.834,18.834,18.834,18.834,0
09.01.2022 02:00:00.000 GMT+0200,18.834,18.834,18.834,18.834,0
10.01.2022 02:00:00.000 GMT+0200,19.574,20.614,18.424,18.503,12248250000
11.01.2022 02:00:00.000 GMT+0200,18.734,19.124,17.784,17.834,10219742126.464998
12.01.2022 02:00:00.000 GMT+0200,17.603,17.984,17.304,17.674,4924620697.0213995
13.01.2022 02:00:00.000 GMT+0200,17.594,18.893,17.414,18.754,6760660522.461
14.01.2022 02:00:00.000 GMT+0200,19.394,19.474,18.303,18.413,10502465454.1017
15.01.2022 02:00:00.000 GMT+0200,18.413,18.413,18.413,18.413,0
16.01.2022 02:00:00.000 GMT+0200,18.413,18.413,18.413,18.413,0
17.01.2022 02:00:00.000 GMT+0200,18.413,18.413,18.413,18.413,0
18.01.2022 02:00:00.000 GMT+0200,19.273,20.054,19.224,19.883,8935760864.2579
19.01.2022 02:00:00.000 GMT+0200,19.474,20.544,19.384,20.384,9030295837.402401
20.01.2022 02:00:00.000 GMT+0200,19.873,21.393,19.093,21.233,8203828063.9649
21.01.2022 02:00:00.000 GMT+0200,21.613,23.233,21.164,23.173,29669968017.578197
22.01.2022 02:00:00.000 GMT+0200,23.173,23.173,23.173,23.173,0
23.01.2022 02:00:00.000 GMT+0200,23.173,23.173,23.173,23.173,0
24.01.2022 02:00:00.000 GMT+0200,25.044,27.834,23.314,23.803,65358542968.75
25.01.2022 02:00:00.000 GMT+0200,25.354,26.234,23.163,23.944,49805202148.43759
26.01.2022 02:00:00.000 GMT+0200,22.834,24.874,21.783,24.264,33290347534.179703
27.01.2022 02:00:00.000 GMT+0200,23.103,25.143,22.664,24.583,45326375488.2814
28.01.2022 02:00:00.000 GMT+0200,24.023,25.044,22.873,22.973,34135846923.828197
29.01.2022 02:00:00.000 GMT+0200,22.973,22.973,22.973,22.973,0
30.01.2022 02:00:00.000 GMT+0200,22.973,22.973,22.973,22.973,0
31.01.2022 02:00:00.000 GMT+0200,23.233,23.404,21.423,21.424,13786536254.883001
01.02.2022 02:00:00.000 GMT+0200,21.033,21.604,19.813,19.813,12164970520.0196
02.02.2022 02:00:00.000 GMT+0200,19.724,20.244,19.313,19.443,11059450073.2423
03.02.2022 02:00:00.000 GMT+0200,20.664,21.844,20.103,21.844,17348365722.6564
04.02.2022 02:00:00.000 GMT+0200,21.544,22.164,20.313,21.003,19883702758.7891
05.02.2022 02:00:00.000 GMT+0200,21.003,21.003,21.003,21.003,0
06.02.2022 02:00:00.000 GMT+0200,21.003,21.003,21.003,21.003,0
07.02.2022 02:00:00.000 GMT+0200,20.513,20.754,19.983,20.454,11689394165.039099
08.02.2022 02:00:00.000 GMT+0200,20.254,20.594,19.423,19.504,8451001037.5977
09.02.2022 02:00:00.000 GMT+0200,18.944,19.154,18.733,18.754,3114000015.2588005
10.02.2022 02:00:00.000 GMT+0200,19.724,20.973,18.803,20.543,19360800292.9688
11.02.2022 02:00:00.000 GMT+0200,20.464,23.884,20.303,23.253,36804737915.0392
12.02.2022 02:00:00.000 GMT+0200,23.253,23.253,23.253,23.253,0
13.02.2022 02:00:00.000 GMT+0200,23.253,23.253,23.253,23.253,0
14.02.2022 02:00:00.000 GMT+0200,23.314,24.804,23.033,23.313,34690501220.7034
15.02.2022 02:00:00.000 GMT+0200,21.704,22.233,21.344,21.403,10811700012.207201
16.02.2022 02:00:00.000 GMT+0200,21.713,22.144,20.473,20.533,13034700927.7344
17.02.2022 02:00:00.000 GMT+0200,21.743,23.093,21.633,22.974,13446900634.7657
18.02.2022 02:00:00.000 GMT+0200,23.204,24.083,22.813,23.363,25972199951.172
19.02.2022 02:00:00.000 GMT+0200,23.363,23.363,23.363,23.363,0
20.02.2022 02:00:00.000 GMT+0200,23.363,23.363,23.363,23.363,0
21.02.2022 02:00:00.000 GMT+0200,23.363,23.363,23.363,23.363,0
22.02.2022 02:00:00.000 GMT+0200,23.793,24.623,22.893,23.343,28986300048.8283
23.02.2022 02:00:00.000 GMT+0200,22.734,24.774,22.673,24.664,25294501464.8439
24.02.2022 02:00:00.000 GMT+0200,27.414,27.454,23.773,23.993,45999901855.4689
25.02.2022 02:00:00.000 GMT+0200,23.773,24.214,22.633,22.953,19025103515.6251
26.02.2022 02:00:00.000 GMT+0200,22.953,22.953,22.953,22.953,0
27.02.2022 02:00:00.000 GMT+0200,22.953,22.953,22.953,22.953,0
28.02.2022 02:00:00.000 GMT+0200,24.723,24.984,23.563,24.043,26908201171.8751
01.03.2022 02:00:00.000 GMT+0200,24.693,26.984,24.324,26.663,33723003593.444706
02.03.2022 02:00:00.000 GMT+0200,26.334,26.494,24.704,24.923,20538899959.0876
