Local time,Open,High,Low,Close,Volume
31.12.2021 02:00:00.000 GMT+0200,1816.042,1830.612,1814.982,1829.952,21054584.5032
01.01.2022 02:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 02:00:00.000 GMT+0200,1829.656,1832.076,1828.342,1828.772,728935.0033
03.01.2022 02:00:00.000 GMT+0200,1828.752,1831.846,1798.496,1804.432,35102689.9218
04.01.2022 02:00:00.000 GMT+0200,1804.432,1816.962,1798.615,1814.192,43720555.18620001
05.01.2022 02:00:00.000 GMT+0200,1814.192,1829.872,1808.536,1810.546,40521402.95499999
06.01.2022 02:00:00.000 GMT+0200,1810.582,1811.792,1786.592,1791.602,47568535.26810001
07.01.2022 02:00:00.000 GMT+0200,1791.622,1798.842,1782.835,1796.942,40429854.959
08.01.2022 02:00:00.000 GMT+0200,1796.942,1796.942,1796.942,1796.942,0
09.01.2022 02:00:00.000 GMT+0200,1795.945,1796.465,1794.455,1795.442,795580.0295
10.01.2022 02:00:00.000 GMT+0200,1795.342,1803.160,1790.602,1801.495,44975151.2409
11.01.2022 02:00:00.000 GMT+0200,1801.505,1823.472,1801.455,1821.062,42605783.105000004
12.01.2022 02:00:00.000 GMT+0200,1821.055,1828.312,1814.922,1825.562,37781579.7924
13.01.2022 02:00:00.000 GMT+0200,1825.572,1828.402,1812.542,1821.102,37297490.3882
14.01.2022 02:00:00.000 GMT+0200,1821.112,1829.362,1814.846,1818.402,42279449.7611
15.01.2022 02:00:00.000 GMT+0200,1818.402,1818.402,1818.402,1818.402,0
16.01.2022 02:00:00.000 GMT+0200,1819.056,1819.742,1816.122,1816.662,515474.9751
17.01.2022 02:00:00.000 GMT+0200,1816.682,1823.402,1813.386,1819.362,19054079.8603
18.01.2022 02:00:00.000 GMT+0200,1819.382,1823.002,1805.991,1814.551,47189077.10909999
19.01.2022 02:00:00.000 GMT+0200,1814.551,1843.562,1810.472,1838.832,49973608.1363
20.01.2022 02:00:00.000 GMT+0200,1838.842,1848.116,1836.162,1839.212,45608884.8709
21.01.2022 02:00:00.000 GMT+0200,1839.212,1843.436,1828.692,1836.162,47459430.1581
22.01.2022 02:00:00.000 GMT+0200,1836.162,1836.162,1836.162,1836.162,0
23.01.2022 02:00:00.000 GMT+0200,1835.531,1837.422,1832.046,1835.016,1166149.9739
24.01.2022 02:00:00.000 GMT+0200,1835.016,1844.552,1829.942,1843.792,71617149.4721
25.01.2022 02:00:00.000 GMT+0200,1843.802,1854.052,1835.122,1849.832,57767769.81350001
26.01.2022 02:00:00.000 GMT+0200,1849.792,1849.852,1815.152,1822.202,47224690.3776
