Local time,Open,High,Low,Close,Volume
31.12.2021 02:00:00.000 GMT+0200,1815.618,1830.248,1814.598,1829.058,24128715.5151
01.01.2022 02:00:00.000 GMT+0200,1829.058,1829.058,1829.058,1829.058,0
02.01.2022 02:00:00.000 GMT+0200,1828.604,1831.624,1827.898,1828.354,692910.0156
03.01.2022 02:00:00.000 GMT+0200,1828.294,1831.458,1798.189,1804.028,36601215.2133
04.01.2022 02:00:00.000 GMT+0200,1804.024,1816.688,1798.388,1813.788,37423574.1497
05.01.2022 02:00:00.000 GMT+0200,1813.815,1829.584,1808.168,1810.178,42011954.9035
06.01.2022 02:00:00.000 GMT+0200,1810.228,1811.438,1786.288,1791.278,49875505.0898
07.01.2022 02:00:00.000 GMT+0200,1791.255,1798.515,1782.495,1795.808,40953365.415400006
08.01.2022 02:00:00.000 GMT+0200,1795.808,1795.808,1795.808,1795.808,0
09.01.2022 02:00:00.000 GMT+0200,1793.955,1796.098,1793.685,1795.048,781814.9924
10.01.2022 02:00:00.000 GMT+0200,1795.048,1802.848,1790.235,1801.088,42463014.99
11.01.2022 02:00:00.000 GMT+0200,1801.088,1823.228,1801.055,1820.588,40464925.3489
12.01.2022 02:00:00.000 GMT+0200,1820.588,1827.984,1814.578,1825.168,39035769.8797
13.01.2022 02:00:00.000 GMT+0200,1825.168,1828.058,1812.228,1820.728,37327800.214200005
14.01.2022 02:00:00.000 GMT+0200,1820.728,1829.048,1814.578,1817.418,40043225.10970001
15.01.2022 02:00:00.000 GMT+0200,1817.418,1817.418,1817.418,1817.418,0
16.01.2022 02:00:00.000 GMT+0200,1817.044,1819.254,1815.768,1816.268,795499.9804
17.01.2022 02:00:00.000 GMT+0200,1816.268,1823.088,1813.000,1818.938,20556270.033000004
18.01.2022 02:00:00.000 GMT+0200,1818.938,1822.644,1805.658,1814.158,51783777.35610001
19.01.2022 02:00:00.000 GMT+0200,1814.168,1843.318,1810.143,1838.414,47174970.030899994
20.01.2022 02:00:00.000 GMT+0200,1838.424,1847.804,1835.808,1838.808,50070614.75510001
21.01.2022 02:00:00.000 GMT+0200,1838.848,1843.108,1828.384,1834.328,51934366.4645
22.01.2022 02:00:00.000 GMT+0200,1834.328,1834.328,1834.328,1834.328,0
23.01.2022 02:00:00.000 GMT+0200,1834.524,1836.948,1831.428,1834.598,1233260.0355
24.01.2022 02:00:00.000 GMT+0200,1834.588,1844.208,1829.558,1843.538,62929040.193599984
25.01.2022 02:00:00.000 GMT+0200,1843.538,1853.748,1834.838,1849.398,52620270.4907
26.01.2022 02:00:00.000 GMT+0200,1849.355,1849.448,1814.838,1821.828,56466387.6297
27.01.2022 02:00:00.000 GMT+0200,1821.848,1821.858,1791.678,1797.158,58467969.954
28.01.2022 02:00:00.000 GMT+0200,1797.158,1799.308,1780.158,1791.028,55546978.7717
29.01.2022 02:00:00.000 GMT+0200,1791.028,1791.028,1791.028,1791.028,0
30.01.2022 02:00:00.000 GMT+0200,1791.928,1791.928,1788.338,1789.408,1167840.004
31.01.2022 02:00:00.000 GMT+0200,1789.408,1799.805,1785.458,1797.748,44606935.05399999
01.02.2022 02:00:00.000 GMT+0200,1797.708,1808.638,1795.625,1800.578,40898713.35040001
02.02.2022 02:00:00.000 GMT+0200,1800.578,1810.718,1794.358,1807.755,38971734.166
03.02.2022 02:00:00.000 GMT+0200,1807.798,1808.875,1788.538,1805.608,55308048.96350001
04.02.2022 02:00:00.000 GMT+0200,1805.608,1814.798,1792.018,1807.558,54601728.43939999
05.02.2022 02:00:00.000 GMT+0200,1807.558,1807.558,1807.558,1807.558,0
06.02.2022 02:00:00.000 GMT+0200,1806.719,1811.308,1806.678,1809.934,1487300.0383
07.02.2022 02:00:00.000 GMT+0200,1809.968,1823.458,1808.638,1821.878,75904659.44999999
08.02.2022 02:00:00.000 GMT+0200,1821.878,1828.664,1815.314,1825.838,57241150.2599
09.02.2022 02:00:00.000 GMT+0200,1825.854,1835.708,1824.538,1832.508,43223550.02149999
10.02.2022 02:00:00.000 GMT+0200,1832.518,1841.838,1821.534,1826.708,62524260.163399994
11.02.2022 02:00:00.000 GMT+0200,1826.708,1865.378,1820.838,1857.898,67789295.0774
12.02.2022 02:00:00.000 GMT+0200,1857.898,1857.898,1857.898,1857.898,0
13.02.2022 02:00:00.000 GMT+0200,1859.233,1862.028,1855.308,1859.404,1690719.9621
14.02.2022 02:00:00.000 GMT+0200,1859.428,1874.018,1850.698,1870.948,75157010.13800001
15.02.2022 02:00:00.000 GMT+0200,1870.928,1879.378,1844.398,1852.848,58586509.91309999
16.02.2022 02:00:00.000 GMT+0200,1852.848,1872.498,1850.188,1869.788,52200827.002399996
17.02.2022 02:00:00.000 GMT+0200,1869.808,1901.016,1867.698,1899.878,70517369.86639999
18.02.2022 02:00:00.000 GMT+0200,1899.903,1902.358,1886.478,1897.768,57706560.015999995
19.02.2022 02:00:00.000 GMT+0200,1897.768,1897.768,1897.768,1897.768,0
20.02.2022 02:00:00.000 GMT+0200,1900.818,1906.348,1896.651,1904.758,1229995.966
