Local time,Open,High,Low,Close,Volume
01.01.2022 00:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 01:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 02:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 03:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 04:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 05:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 06:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 07:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 08:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 09:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 10:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 11:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 12:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 13:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 14:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 15:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 16:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 17:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 18:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 19:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 20:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 21:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 22:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
01.01.2022 23:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 00:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 01:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 02:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 03:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 04:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 05:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 06:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 07:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 08:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 09:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 10:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 11:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 12:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 13:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 14:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 15:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 16:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 17:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 18:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 19:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 20:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 21:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 22:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
02.01.2022 23:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
03.01.2022 00:00:00.000 GMT+0200,1829.952,1829.952,1829.952,1829.952,0
03.01.2022 01:00:00.000 GMT+0200,1829.656,1832.076,1828.342,1828.772,728935.0033
03.01.2022 02:00:00.000 GMT+0200,1828.752,1831.312,1827.316,1830.532,1101879.9543
03.01.2022 03:00:00.000 GMT+0200,1830.472,1831.846,1827.902,1829.122,1347669.9591
03.01.2022 04:00:00.000 GMT+0200,1829.121,1829.172,1825.942,1826.446,925539.9704
